stimulus_index,stimulus_id,category_id
0,low_031.jpg,0
1,low_032.jpg,0
2,low_033.jpg,0
3,low_034.jpg,0
4,low_035.jpg,0
5,low_036.jpg,0
6,mood_37.jpg,0
7,mood_38.jpg,0
8,mood_39.jpg,0
9,mood_40.jpg,0
10,mood_41.jpg,0
11,mood_42.jpg,0
12,mood_43.jpg,0
13,mood_44.jpg,0
14,mood_45.jpg,0
15,mood_46.jpg,0
16,noi_047.jpg,0
17,noi_048.jpg,0
18,noi_049.jpg,0
19,noi_050.jpg,0
20,noi_051.jpg,0
21,noi_052.jpg,0
22,noi_053.jpg,0
23,patch_062.jpg,0
24,patch_063.jpg,0
25,patch_064.jpg,0
26,patch_065.jpg,0
27,rand_075.jpg,0
28,rand_076.jpg,0
29,rand_077.jpg,0
30,rand_078.jpg,0
31,rand_079.jpg,0
32,ind_016.jpg,1
33,ind_017.jpg,1
34,ind_018.jpg,1
35,ind_019.jpg,1
36,ind_020.jpg,1
37,ind_021.jpg,1
38,ind_022.jpg,1
39,ind_023.jpg,1
40,ind_024.jpg,1
41,ind_025.jpg,1
42,land_026.jpg,1
43,land_027.jpg,1
44,land_028.jpg,1
45,land_029.jpg,1
46,land_030.jpg,1
47,outman_054.jpg,1
48,outman_055.jpg,1
49,outman_056.jpg,1
50,outman_057.jpg,1
51,outman_058.jpg,1
52,outman_059.jpg,1
53,outman_060.jpg,1
54,outman_061.jpg,1
55,sat_080.jpg,1
56,sat_081.jpg,1
57,sat_082.jpg,1
58,sat_083.jpg,1
59,sat_084.jpg,1
60,sat_085.jpg,1
61,sat_086.jpg,1
62,sat_087.jpg,1
63,act_001.jpg,2
64,act_002.jpg,2
65,act_003.jpg,2
66,act_004.jpg,2
67,act_005.jpg,2
68,por_071.jpg,2
69,por_072.jpg,2
70,por_073.jpg,2
71,por_074.jpg,2
72,soc_088.jpg,2
73,soc_089.jpg,2
74,soc_090.jpg,2
75,soc_091.jpg,2
76,soc_092.jpg,2
77,soc_093.jpg,2
78,soc_094.jpg,2
79,soc_095.jpg,2
80,soc_096.jpg,2
81,soc_097.jpg,2
82,soc_098.jpg,2
83,soc_099.jpg,2
84,soc_100.jpg,2
85,art_006.jpg,3
86,art_007.jpg,3
87,art_008.jpg,3
88,art_009.jpg,3
89,art_010.jpg,3
90,art_011.jpg,3
91,cat_012.jpg,3
92,cat_013.jpg,3
93,cat_014.jpg,3
94,cat_015.jpg,3
95,pat_066.jpg,3
96,pat_067.jpg,3
97,pat_068.jpg,3
98,pat_069.jpg,3
99,pat_070.jpg,3
